
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
70-0065                          J1                                22   1      7   7   1 8           8 0 GND                 (43-1-13)
70-0065                          J1                                22   1      8   8   1 9           9 0 GND                 (43-1-13)
70-0065                          J1                                22   1      9   9   1 1           1 0 OTG_HS_VBUS         (4631-6-13)
70-0081                          J3                                 6   1      1   1   1 1           1 0 VCC                 (43-2-13)
70-0081                          J3                                 6   1      2   2   1 2           2 0 SWDIO               (4633-1-13)
70-0081                          J3                                 6   1      3   3   1 3           3 0 GND                 (43-1-13)
70-0081                          J3                                 6   1      4   4   1 4           4 0 SWCLK               (4633-2-13)
70-0081                          J3                                 6   1      5   5   1 5           5 0 GND                 (43-1-13)
70-0081                          J3                                 6   1      6   6   1 6           6 0                     (0-0-0)
70-0081                          J3                                 6   1      7   7   1 8           8 0                     (0-0-0)
70-0081                          J3                                 6   1      8   8   1 9           9 0 GND                 (43-1-13)
70-0081                          J3                                 6   1      9   9   1 10         10 0                     (0-0-0)
70-0081                          J3                                 0   2      1   1   2 7           7 1                     (0-0-0)
70-0081                          J6                                 5   1      1   1   1 1           1 0 VCC                 (43-2-13)
70-0081                          J6                                 5   1      2   2   1 2           2 0 SWDIO_STM32         (4292-10-13)
70-0081                          J6                                 5   1      3   3   1 3           3 0 GND                 (43-1-13)
70-0081                          J6                                 5   1      4   4   1 4           4 0 SWCLK_STM32         (4292-9-13)
70-0081                          J6                                 5   1      5   5   1 5           5 0 GND                 (43-1-13)
70-0081                          J6                                 5   1      6   6   1 6           6 0                     (0-0-0)
70-0081                          J6                                 5   1      7   7   1 8           8 0                     (0-0-0)
70-0081                          J6                                 5   1      8   8   1 9           9 0 GND                 (43-1-13)
